	p009_MOUSE_Brain_adult	p009_MOUSE_Brain_e17	p009_MOUSE_shGFP	p009_MOUSE_shHRNPDL_3	p009_MOUSE_shHRNPDL_4	p009_MOUSE_shRFP	p021_ESC	p021_NSC	p021_SC	p021_iPSC	p022_EBs_BR1	p022_EBs_BR2	p022_EBs_BR3	p022_ESCs_BR1	p022_ESCs_BR2	p022_ESCs_BR3	p022_MEFs_BR1	p001_BRAIN_S1_SYSY	p001_BRAIN_S2_NEB	p001_BRAIN_S2_SYSY	p005_neural_WT	p005_neural_WT	p011_D-2	p011_D0	p011_D10	p011_D2	p011_D5	p011_siCtrl-BR1	p011_siCtrl-BR2	p011_siFTO-BR1	p011_siFTO-BR2	p027_HS	p027_NM	p010_mESC_WT	p010_mESC_WT_BR1	p010_mESC_WT_BR2
2610027K06Rik	0	0	0	0	0	0	1.92	0	0	3.4	0	0	0	0	0	0	0	0	53.2	0	0	0.38795052	0	15.7	22	6.29	14.4	2.76	2.19	0	0	0	0	0	0	0
2610028E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.1	17.92	35.73	36.15473339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610028H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.7	0	0	0.818780115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610035D17Rik	168	376	17.6	24.1	31.1	9.96	9.21	153	5.09	12	0	0	0	107.8	0	0	54.72	67.9	54.8	44.2	21.45	22.11265737	0	17.3	21.3	12.32	8.29	3.77	10.74	2.05	1.97	0	0	39.7	30.3	55.8
2610035F20Rik	21	77	0	0	0	0	2.62	51.6	0	0	18.3	14.8	25.4	28.6	15.8	0	0	9.17	13.6	0	3.84	4.638918655	0	0	0	0	0	0	0	0	0	0	0	2.72	0	0
2610037D02Rik	29.95	26.4	21.7	0	4.29	0	5.48	0	0	7.73	13.68	2.04	7.79	31.7	0	8.71	0	46.17	159.5	38.42	13.2	13.72076863	0	0	0	0	0	0	0	0	0	0	0	18.42	9.4	5.03
2610044O15Rik8	145	104	14.2	40.11	14.22	28.1	2.7	1.82	3.96	5.09	14.75	8.9	6.76	133	41.7	26.1	26.1	14.8	15	11.5	16.67	17.25001549	0	0	0	0	0	6.3	1.78	48.1	20.2	0	0	11.7	24.2	16.24
2610203C22Rik	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	19.2	3.53	4.191848895	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610206C17Rik	0	0	3.66	0	10.7	0	2.26	0	0	0	18.3	27.9	0	24.1	18.8	10.9	5.03	0	0	0	0	0.806655576	0	4.82	34.5	17.5	15.2	6.53	9.64	0	0	0	0	19.88	4.68	0
2610301B20Rik	336.8	337	37.42	19.44	42.88	20.8	2.2	2.84	2.88	2.91	58.4	202	11.8	88.8	64.3	42.5	79.6	18	29.23	24.67	32.3	32.37026399	0	38.6	58.89	27.9	58.6	37.2	39.83	32.06	45.51	0	0	16.3	7.98	5.85
2610306M01Rik	89.9	221	9.09	11.3	27.3	29.6	6.07	11.99	4.93	8.97	18.3	18	0	25.4	0	0	93.8	67.2	51.1	34.9	31.5	32.45115087	30.3	7.96	15.1	16.24	20.21	7.3	13.72	12.86	16.1	0	0	15.5	29.9	0
2610307P16Rik	0	42	0	0	0	0	0	92.6	2.23	0	0	0	0	0	0	0	11.3	0	34.1	0	0	0.112324924	0	6.83	21.2	0	12	0	0	0	0	0	0	0	0	0
2610316D01Rik	0	7	0	0	0	0	0	24.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528219639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610318N02Rik	0	12.6	2.54	0	0	0	0	0	0	0	10.47	11.5	2.72	31.7	40.1	0	12	16.3	50.4	0	11.5	11.70964943	0	0	0	0	0	0	0	0	0	0	0	0	2.83	4.43
2610507B11Rik	204.6	646	20.3	23.87	19.35	29.68	9.05	23.27	7.01	26.79	101.2	121.2	113.1	282.17	147.4	68.3	100.92	20.56	45	30.9	21.29	21.79624629	0	1.67	1.5	1.49	7.48	16.91	16.22	8.49	4.85	0	21.24	37	25.89	30.85
2610507I01Rik	580.6	386.9	0	0	0	0	8.03	19.62	10.99	37.29	38	23.14	20.44	88.8	0	12	200.1	97.74	154.68	63.4	102	102.1408893	107	11.8	46.95	38.6	59.61	16.9	21.15	22.6	42.9	0	0	80.13	98.3	359
2610524H06Rik	53.7	32.6	10.1	14.16	12.16	10.09	2.96	0	0	0	16.6	19.7	5.67	27.04	31.6	23.57	13.2	20.9	6.82	6.14	6.4	7.039101406	0	5.54	5.31	3.93	9.24	4.56	9.96	20.6	9.29	0	0	2.65	4.84	7.42
2610528A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.483854412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610528J11Rik	0	0	0	0	0	0	3.53	0	0	2.33	39.3	0	14.1	0	0	0	0	0	49.1	13.4	0	0.837609101	0	0	0	0	0	0	0	0	0	0	0	9.52	7.48	0
2700038G22Rik	0	0	13.9	12.2	15	11	0	0	0	2.25	0	0	0	0	0	0	4.09	0	0	0	0	0.003292988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700046A07Rik	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2	79.1	26.2	43.99	44.552852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700046G09Rik	0	0	0	0	0	0	1.83	0	2.47	0	0	0	0	0	0	0	26.44	0	10.2	0	40.08	40.75420216	0	12.5	8.32	8.24	8.47	2.57	7.51	0	0	0	0	0	0	0
2700049A03Rik	0	128.8	31.89	9.77	16.08	9.67	0	0	0	5.61	15.96	36.9	11.8	38.1	41.3	10.9	30	21.4	43.6	48	20.01	20.48230597	0	0	0	0	5.24	0	0	0	0	0	0	9.12	2.97	0
2700054A10Rik	57.2	102.2	0	0	0	0	9.19	0	11.5	6.55	31.4	3.1	4.84	14.8	0	0	13.2	43.53	170.3	63.4	104.64	105.4867867	0	0	0	0	0	0	0	0	0	0	0	24.9	0	0
2700060E02Rik	11.1	47.57	9.83	29.44	10	14.65	2.92	11.9	6.58	1.58	7.18	8.03	6.54	26.9	6.07	10.2	27.3	3.12	3.41	5.12	6.1	6.228942546	0	0	0	0	0	0	5.81	1.27	0	0	0	3.82	6.06	5.96
2700062C07Rik	107	61.6	5.29	25.6	6.13	14.1	1.92	0	0	3.15	16.6	12	25.4	17.68	74	0	56.6	32.6	9.43	11.7	13.79	14.03705325	0	0	2.66	1.84	0	2.68	0	2.31	0	0	0	2.47	7.57	6.9
2700069I18Rik	0	21	0	0	0	0	0	0	0	0	0	0	3.04	0	0	0	4.3	4.41	15	0	4.57	4.959023502	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700070H01Rik	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84	91.4	12.8	0	0.280783585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700081O15Rik	91.1	108.8	23.38	7.32	33.53	25.44	24.61	5.44	13.57	15.31	44.5	58.3	6.17	69.5	49.8	30.5	43.16	31.5	34.63	34.54	37.33	38.10321979	305.5	729	1060	439	748	23.7	42.26	70.21	140.92	0	0	9.96	7	8.68
2700089I24Rik	0	42	0	0	0	0	0	0	0	0	2.84	4.92	2	0	0	5.44	0	0	7.5	0	0	0.16989849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700094K13Rik	19.9	18.4	2.18	1.97	2.86	1.9	0	0	0	0	10.5	8.2	0	17	16.2	12.3	4.23	0	0	4.05	4.76	5.442155124	0	0	0	1.55	0	0	0	0	0	9.77	0	0	0	0
2700097O09Rik	10.5	11.2	0	0	0	0	0	0	0	0	28.8	0	0	8.88	3.64	0	11.3	0	4.09	0	3.2	4.110751185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700099C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61	0	0	15.7	0	0	0	0	0.524002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810001G20Rik	26.9	51.8	31.18	10.5	4.56	7.91	2.02	3.83	0	0	0	0	0	0	0	0	15.7	3.56	3.1	2.8	17.09	17.16499915	0	0	0	0	0	0	0	0	0	0	0	4.28	4.49	0
2810002D19Rik	22.2	57.4	31.9	20.3	22.5	14.4	3.23	2.09	0	0	0	0	0	25.4	0	0	34.6	7.89	8.45	8.45	26.39	26.44105807	0	0	0	0	0	0	0	0	0	0	0	2.65	0	0
2810004N23Rik	103.9	104.3	23.23	47.3	21.41	36.47	5.93	3.64	6.23	15.11	49.84	52.66	11.6	35.23	15.1	23.8	59.1	3.69	30.75	22.28	41.42	41.51251027	107.5	9.96	18.68	13.39	14.02	7.02	10.15	20.57	18.08	0	0	18.96	28.63	25.88
2810006K23Rik	127.6	250.2	24.16	22.5	89.36	26.83	6.03	17.11	2.42	7.26	33.16	13.1	2.39	35.16	0	16.36	48.3	53.01	83.19	73.67	33.87	34.78363496	0	0	16.22	0	11.55	0	0	3.69	3.78	0	0	10.7	32.8	27.6
2810013P06Rik	175.1	157	68.71	23.35	30.95	30.67	5.15	2.09	3.18	14.28	0	44.2	0	23.8	9.71	0	109.2	28.1	34.95	32.66	19.4	19.57982594	0	13.9	11.8	7.6	8.25	1.96	0	0	0	0	0	18.46	20.07	15.84
2810021J22Rik	142.92	95.8	53.6	36.8	45.6	46.27	5.08	4.16	0	9.14	18.3	45.9	20	82.5	0	0	196	32.6	81.3	60.1	42.86	43.55051249	0	13.8	9.17	10.1	11.4	10.03	6.9	10.6	9.83	0	0	23.5	10.8	37.19
2810025M15Rik	32.7	48.1	4.2	8.57	25.7	3.81	1.21	9.54	1.57	0	40.57	49.8	9.99	36.94	58.9	0	12.01	0	0	3.13	13.91	13.97000372	0	28.9	22.98	4.64	19.97	1.98	4.74	4.43	2.4	0	0	3.82	3.41	0
2810029C07Rik	184.5	247.8	0	0	0	0	13.9	76.28	16.28	11.52	0	0	0	0	0	0	65.41	67.6	72.4	91.48	53.1	53.82390406	0	0	37.2	19.91	66.6	10.89	9.14	0	0	0	0	59.14	52	49.6
2810032G03Rik	73.6	114.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	25.2	15	17.7	18.19996319	0	0	0	0	0	0	0	0	0	0	0	14.4	0	0
2810047C21Rik1	12.8	28	22.02	10.5	26.8	0	0	0	0	0	0	0	0	0	0	0	7.55	27.25	31.38	7.47	9.33	10.30830807	0	0	0	0	0	0	0	0	0	0	0	3.68	15.6	0
2810049E08Rik	46.7	9.79	0	0	0	0	0	22.6	0	0	0	0	0	0	0	0	0	36.7	12	17.54	28.2	29.17022909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810403A07Rik	269.4	883.6	25.62	19.08	37.6	93.6	4.85	3.91	4.81	11.44	54.4	60.4	91.3	126.21	78.6	136.68	64.08	26.9	50.3	34.6	35.6	35.65738286	0	3.76	7.3	12.27	4.75	11.37	20.95	32.35	37.76	8.55	7.38	19.99	26.4	22.4
2810405F15Rik	0	0	0	0	10.7	0	0	0	0	0	0	0	0	0	0	0	0	12.2	15	0	9.33	9.890978389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810408A11Rik	0	39.2	11.5	0	0	0	0	0	0	0	0	0	0	0	0	0	16.99	0	85.9	24.92	0	0.336254661	0	4.58	19.34	10.3	49.48	0	0	0	0	0	0	0	0	0
2810408I11Rik	0	0	13.62	7.89	35.4	30.5	0	10.5	0	0	15.7	14.8	0	44.4	0	0	0	0	0	0	0	0.471867633	0	0	0	0	0	0	0	0	0	0	0	9.24	48.1	22.6
2810410L24Rik	0	35	3.9	0	0	9.67	0	3.06	0	0	9.16	0	0	0	0	0	13.8	0	21.78	3.84	8.41	9.048478803	0	66.4	53	37.45	58.6	10.77	13.5	0	4.71	0	0	0	0	0
2810417H13Rik	0	18.2	0	0	0	0	0	0	0	0	0	0	0	7.93	0	0	0	0	0	0	0	0.890355454	0	0	0	0	0	0	0	0	0	6.95	0	0	0	0
2810428I15Rik	65.4	92.3	4.68	5.49	2.99	2.56	2.41	0	2.16	0	6.54	7.55	0	17.8	24.3	4.54	7.78	3.06	3.12	4.39	5.12	5.283783007	28.9	8.79	11.3	7.49	7.25	3.95	3.3	1.97	5.81	0	0	0	0	0
2810429I04Rik	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	0	15.4	16.12147713	0	0	0	0	0	0	0	0	0	0	0	0	22.1	37.2
2810433D01Rik	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	9.6	0	0.263340849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810454H06Rik	14	103.6	0	0	0	0	0	7.85	0	21.24	0	14.8	0	38.1	0	0	25.8	10.2	12.3	8.96	65.34	65.73526711	0	0	16.8	5.15	15.7	0	13	0	0	0	0	30.73	0	0
2810459M11Rik	93.4	186.4	0	0	0	0	0	2350	0	32.6	23.6	37.7	9.08	0	0	0	0	36.7	140.91	131.9	23.7	23.84966751	0	0	0	0	0	0	0	0	0	0	0	12.9	0	0
2810468N07Rik	139.8	61.6	12.9	0	12.9	0	0	456	5.89	14.39	0	0	0	0	0	0	10.7	26.9	54.62	23.5	18.2	18.70756793	0	0	0	0	0	0	0	0	0	0	0	11.6	39.52	10.3
2810474O19Rik	172.8	369.7	45.27	83.84	67.09	68.67	6.34	1.56	13.81	13.95	343.48	122.74	83.63	192.21	98.08	89.28	130.05	39.19	44.39	76.21	34.17	34.44521661	0	0	1.54	1.89	1.67	52.84	30.9	35.03	6.3	0	7.78	20.07	34.6	28.46
2900005J15Rik	0	0	0	0	0	0	0	0	0	0	0	5.33	0	0	0	0	0	0	10.2	5.12	9.88	10.10992266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900011O08Rik	29.75	93.8	0	0	0	0	3.99	72.5	0	2.19	18.3	0	0	33	35.2	0	0	12.1	2.68	4.41	18.4	19.12512971	0	0	0	0	0	0	0	0	0	0	0	1.81	0	0
2900026A02Rik	574.9	338.8	31.27	42.5	48.5	16.2	6.91	0	10.86	36.7	198.6	83.6	21.79	355.2	82.6	149.2	126.36	41.2	108.79	89.4	29.63	29.89886868	0	0	0	0	0	0	0	0	0	0	4.22	26.6	81.7	56
2900041M22Rik	0	0	0	0	0	0	2.17	0	0	2.6	0	0	0	0	0	0	8.81	0	0	0	8.07	9.007244375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900052N01Rik	392.1	40.6	0	0	0	0	0	0	0	0	4.58	0	0	0	0	0	0	63.19	119.28	76.8	34.6	34.64391988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900055J20Rik	80.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2	5.12	6.86	7.180987881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900060B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	2.12	0	0	0	0	0	0	0	2.74	3.608966839	0	0	0	0	0	0	0	0	0	0	4.26	0	0	0
2900076A07Rik	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95	4.125262524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900079G21Rik	66.8	60.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.49	17	25.8	21.75	22.28451895	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900092D14Rik	11.7	0	0	0	0	0	5.12	201	0	0	0	4.37	0	0	0	0	0	0	0	10.9	10.89	11.33921167	47.8	22.9	13.3	0	24.9	0	0	9.16	12	0	0	0	23.4	0
2900097C17Rik	250	308.27	28.97	20.93	29.5	35.04	5.74	11.44	6.32	14.57	95.21	126	79.28	182.76	96.2	108.9	71.01	31.6	48.53	28.08	30.33	30.35595603	11.43	41.9	26.8	38	26.2	23.45	23.3	97.75	52.26	28.4	18.2	88.3	47.5	76.6
3000002C10Rik	52.6	33.6	16.28	0	7.51	0	6.91	0	4.05	7.51	0	0	0	16.9	0	0	24.75	18.3	49.8	35.2	20.99	21.59506514	0	3.31	2.92	6.37	3.51	0	5.93	0	0	0	0	5.77	0	0
3010001F23Rik	14	32.2	7.8	0	0	0	0	4.51	0	0	0	0	0	0	0	0	0	0	12.3	0	12.07	12.14102083	0	0	0	0	0	3.07	0	0	0	0	0	0	0	0
3010026O09Rik	168	210	5.63	16.5	14.1	31.9	4.48	7.29	4.14	5.72	165	86	16	91.1	106	42.2	37.3	15.1	110	83.2	27.96	28.77617313	0	0	10.89	7.88	21.56	0	0	0	0	0	0	14.2	20.7	13.2
3100003L05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	0	0.70141938	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110002H16Rik	5.06	40.6	2.77	9.02	0	4.1	0	4.94	0	0	11.8	7.61	3.24	22.48	49.2	10.9	8.81	0	8.63	0	10.43	10.84333355	0	0	6.55	6.98	3.09	4.62	4.52	2.17	2.27	0	0	0	6	7.67
3110009E18Rik	0	0	0	0	0	0	0	0	0	0	0	13.1	0	0	0	0	0	12.2	49.1	14.7	9.88	10.68699442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110015C05Rik	0	16.8	0	0	0	0	0	0	0	0	3.2	0	2.59	0	0	0	0	0	12.3	0	0	0.041275242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110021A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.001282381	0	22.9	21.2	7.55	20.3	3.35	0	0	0	0	0	0	0	0
3110035E14Rik	122.63	314.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.2	21.29	27.45	29.87	30.27560779	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110039I08Rik	85.3	151	20.77	21.32	31.13	14.97	0	21.82	0	0	0	0	0	0	0	0	20.03	4.19	13.35	19.9	21.6	22.15165761	0	0	0	0	0	10.44	14.56	0	31.83	0	0	0	0	0
3110040N11Rik	0	22.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753269024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110043O21Rik	52.5	221.2	8.26	4.13	6.43	4.8	0	0	0	0	15.7	5.47	0	95.2	0	0	5.79	5.97	5.7	10.4	11.4	11.83850432	0	0	0	0	0	0	0	0	0	0	0	7.27	4.68	4.31
3110045C21Rik	0	18.2	12.9	0	0	0	0	6.04	0	0	0	0	0	0	0	0	0	0	19.1	10.2	27.48	27.51539626	0	0	0	0	0	0	0	0	0	0	0	7.16	24.7	0
3110056K07Rik	18.7	21	0	0	0	0	0	0	0	13.88	0	0	0	0	0	0	0	4.48	0	2.38	17	17.23069604	0	0	17.7	16.5	24.9	0	0	0	0	0	0	20.4	0	0
3110062M04Rik	31.5	106.4	60.33	41.74	61.99	13.8	8.2	0	9.16	4.43	36.6	18	0	12.7	0	0	30.9	27.5	102.57	33.22	23.53	24.43593832	6.32	5.44	18.26	21.3	19.78	10.49	19.76	1.77	6.15	0	0	61.29	31.2	0
3110070M22Rik	24.5	32.2	12.9	0	8.04	0	3.33	6.24	0	0	2.84	2.62	5.3	0	0	0	0	23.4	153	52.5	85.6	86.36086688	0	23.77	59	53.86	54.5	7.81	0	0	0	0	0	20.4	41.6	31
3110079O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	0	0.88620625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110082I17Rik	49	56.46	13.69	22.35	11.57	11.93	5.77	3.45	7.94	5.86	112	260	62.9	400	269	108	40.56	21.4	75	26.9	20.13	20.55806235	219	20.86	31.59	34.48	17.74	12.88	9.16	13.3	13	0	0	13.18	15.6	13.02
3110082J24Rik	12.8	0	0	0	0	0	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0.662084713	0	69.9	16.4	0	0	10	13.6	0	0	0	0	0	0	0
3110099E03Rik	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320186032	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3200001D21Rik	31.5	64.4	11.5	0	0	0	0	7.57	0	16.8	23.6	14.8	2.46	0	0	0	15.1	31.6	122.7	43.52	13.2	13.80984681	0	0	0	0	0	0	0	0	0	0	0	32.5	20.8	37.2
3300002P13Rik	64.2	16.8	0	0	0	0	0	13.7	0	0	0	0	0	0	0	0	0	12.7	31.4	29.7	5.76	5.87569048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300005D01Rik	0	0	15.6	0	5.9	9.67	0	0	0	0	0	0	0	0	0	0	8.81	0	10.9	0	0	0.339020679	13.4	0	0	0	0	0	0	2.68	1.59	0	0	0	0	0
3425401B19Rik	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.4	253.4	38.44	0	0.431954172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3632451O06Rik	419.9	498.6	0	0	0	0	10.36	519.5	9.87	10.63	136.1	29.5	6.36	58.7	86.2	47.9	0	52.48	69.56	45.48	53.14	53.86403026	0	0	0	0	0	0	0	0	0	0	0	22.22	57.57	66.68
3632454L22Rik	0	29.4	0	0	0	0	0	0	0	0	0	0	3.13	0	0	0	0	0	12.3	0	17.72	18.33599232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3830406C13Rik	18.12	19.6	11.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.84	6.060928712	0	0	0	0	0	0	0	3.73	7.34	0	0	2.24	0	0
3830408C21Rik	0	11.2	0	0	0	0	0	4.19	0	0	0	0	0	0	0	0	0	17.33	32.8	26.84	43.05	43.64875961	0	20.1	164	36.3	57.8	6.14	4.07	0	0	0	0	6.92	0	74.4
3830432H09Rik	0	0	0	0	0	0	0	20.17	7.35	9.74	0	0	0	0	0	0	0	0	61.4	0	9.88	10.49349242	0	0	0	0	0	0	0	0	0	0	0	54.4	18.2	0
3930402G23Rik	0	0	12.9	0	0	0	0	2.72	0	0	0	0	0	0	0	0	0	0	125.3	12.8	0	0.546340031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4430402I18Rik	18.7	14	0	0	0	0	0	0	2.17	0	0	0	0	0	0	0	0	0	0	0	0	0.755109489	0	16.9	95.6	86.5	119	25.1	12.5	0	0	0	0	0	0	0
4631405J19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3	0	0	0.557389731	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4632404H12Rik	121.4	163.8	44.8	0	37.53	0	0	4.27	0	5.5	15.05	34.4	25.4	0	0	0	46	61.6	64.6	37.9	26.8	26.95951729	0	13.3	10.6	10.3	6.7	6.7	12.12	0	0	0	0	18.72	74.1	40.3
4632415L05Rik	122.17	882.6	45	41.66	46.45	36	9.87	23.62	8.58	14.05	102.78	88.82	23.81	158.7	41.3	34.33	82.4	38.87	193.1	102.1	39.15	39.19235464	5.22	18.4	17.59	23.3	11.84	11.24	11.02	17.98	14.27	0	0	133.32	100.8	30.26
4632427E13Rik	132	186.2	8.14	0	0	15.53	0	41.8	0	79.71	57.6	216	55.4	107.9	126.2	63.2	254.9	40.52	47.81	21.4	38.2	39.05314175	0	18.58	46.4	30.4	87.8	20.9	16.19	10.63	9.66	0	0	23.19	42.9	0
4632428C04Rik	0	0	0	0	0	0	4.22	0	10.7	0	0	0	0	0	0	0	0	35.6	69.5	58.2	46.8	47.79380283	0	0	0	0	0	0	0	0	0	0	0	29.53	0	0
4732416N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	24.2	25.05698864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4732471J01Rik	14	33.6	0	0	0	0	0	17.87	0	19.68	0	0	0	0	0	0	16.4	28.62	100.9	69.04	59.87	60.77292187	0	5.62	4.73	14.4	31.96	5.4	16.05	4.71	5.39	0	0	14.44	5.2	0
4732490B19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.4	0	0	0.316433617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4732491K20Rik	44.4	60.2	25.1	0	11.8	0	0	13.7	7.94	0	0	0	0	0	0	0	39	6.11	49.3	32.8	23.04	23.1279715	0	0	0	0	0	0	0	0	3.64	0	0	6.91	20.8	31
4831407H17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8	15.49147739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4831440E17Rik	17.5	25.2	0	0	0	0	0	0	0	7.31	0	0	0	69.8	0	0	0	10.2	46.4	22.4	20.96	21.93673741	0	0	0	0	0	0	0	0	0	0	0	12.1	29.9	21.7
4833411C07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.2	11.5	0	0.149943414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833412C05Rik	0	0	19.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7	9.6	0	0.264331521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833415N18Rik	18.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	13.6	12.5	12	12.19782856	0	0	0	0	16.6	0	0	0	0	0	0	0	0	0
4833417C18Rik	0	0	0	0	0	0	0	0	0	3.69	18.3	0	0	0	0	0	0	11.2	15	0	8.78	9.159717612	0	0	0	0	0	0	0	0	0	0	0	4.26	5.2	0
4833418N02Rik	15.2	40.6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	52.8	16.3	39.5	31.3	24.44	24.50466959	0	19.9	21.28	9.96	80.11	7.69	7.23	0	0	0	0	43.9	18.2	31
4833420G17Rik	149	621.2	52.16	22.03	34.85	33.5	7.12	0	0	11.67	39.35	58.87	20.1	73.6	26.8	107.5	41.25	26.81	84.1	52.3	32.9	33.54666785	0	0	4.32	0	1.54	2.33	19.72	26.19	6.15	0	0	26.64	52.12	52.13
4833422C13Rik	53.45	99.9	0	0	0	0	0	0	10.7	0	0	0	0	0	0	0	58.51	57.48	50.91	26.9	36.31	37.30570388	0	0	0	16.5	10.2	13.4	10.1	0	0	0	0	0	0	0
4833422M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	18.7	19.46419896	0	0	0	0	0	0	0	0	0	0	0	11.3	0	0
4833427F10Rik	0	0	0	0	0	0	0	12.9	0	0	2.16	2.14	3.52	0	0	0	0	8.76	81.8	24.3	0	0.824270538	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833427G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4	11.17696784	0	0	0	0	0	0	4.15	0	0	0	0	0	0	0
4833428L15Rik	0	0	0	0	0	0	0	0	0	0	18.3	0	0	0	0	0	0	0	0	0	0	0.310261467	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833439L19Rik	12.89	48.99	3.98	2.41	7.19	3.3	1.57	8.11	1.18	2.97	0	21.3	0	35.6	10.3	21.8	4.65	0	0	0	1.44	1.562234343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921504A21Rik	54.9	40.6	0	0	0	0	0	0	5.14	0	0	0	0	0	0	0	0	31.6	129.5	78.8	52.9	53.7016012	0	15.7	14.2	18.5	0	0	0	0	0	0	0	20.4	10.4	0
4921507P07Rik	15.2	36.4	8.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.8	17.9	10.2	10.48085782	0	0	0	0	0	0	0	0	0	0	0	11	18.2	0
