	hybase1	hybase1	hybase1	hybase2	hybase2	hybase2	hybase2	hybase2	hybase2	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase10	hybase10	hybase10	hybase10	hybase10	hybase10	hybase32	hybase32	hybase32	hybase41	hybase41	hybase41	hybase41	hybase41	hybase41	hybase45	hybase45
C1orf52	5.06	4.86	0	0	0	13.4	0	0	0	6.23	18.7	8	4.23	5.56	8.2	0	0	5.02	7.35	0	0	0	0	0	0	0	0	0	3.99	3.96	4.22	4.68	0	0	3.02	3.53
C1orf53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7	9.77
C1orf56	0	0	0	0	0	0	8.43	0	0	29	0	0	0	49.64	18.76	8.22	10.33	13.56	22.94	6.57	13.22	0	8.46	11.16	7.31	6.04	8.43	0	0	0	0	0	0	16.96	11.3	18.31
C1orf61	18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf74	51.8	33.1	130.4	96.1	20.05	39.8	165	23.6	0	52.87	39.97	31	62.3	69.4	24.66	76.2	49.29	27.1	160	79.1	77.9	47.14	46.8	91.3	59.12	0	0	0	12.12	12.83	22.37	12.31	26.8	27.8	13.44	10.45
C1orf94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.1	12.9	14.2	18.66	13.2	30.7	0	0	0	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.58	4.93	0	0
C1QBP	0	0	0	0	80.3	0	2.12	0	0	0	2.03	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	1.25	0	1.23	0	0	0	0	0	0	2.26	3.34
C1QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3	0	0
C1QL1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23	0	0	0	0	2.33	3.45	4	3.37	3.15	2.97	0	6.07	4.75	0	2.33	0	2.2	12.53	0	0	259.93	326.16
C1QL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1	36.2	0	30.1	45.3	0	0	0	0	0	0	0	0	0	0	0	0
C1QL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL4	29.3	32.9	54.4	0	0	0	0	0	0	24.9	0	0	28.8	0	0	10.2	27.2	35.4	58.4	49.24	43.94	27.1	70.4	59.4	31.47	58.53	48.1	0	23.48	18.6	26.15	9.37	0	0	58.6	112
C1QTNF1	0	0	0	0	0	0	8.96	11.7	0	13.3	0	0	0	0	0	20.59	35.69	10.99	24.08	0	9.75	0	0	0	0	40.61	36.67	0	0	11.9	0	0	0	0	20.12	54.66
C1QTNF2	0	0	0	0	0	2.89	0	0	0	0	0	0	7.95	11.7	0	0	0	0	0	35.1	38.37	15.9	23	24.87	9.57	0	0	0	0	0	0	0	0	0	14.4	12.2
C1QTNF3	0	0	0	0	0	4.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF3-AMACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5	0
C1QTNF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66	0	0	0	0	0	2.75	0	0	0	0	0	0	0	0	0	0	23.6	0	0	0	0
C1QTNF5	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3	5.45	0	0	0	0	34.68	15.85	9.44	8.48	37.13	35.02	0	0	0	0	0	0	0	0	0	31	31.09
C1QTNF6	36.1	21.4	54	28.64	106.59	13.22	43.68	125.7	0	16.2	0	22.06	67.6	28	2.82	43.53	25.51	35.83	23.14	35.65	29.18	29.79	25.98	35.26	16.87	31.99	51.12	0	15.6	9.63	10.6	7.83	12.36	12.27	23.52	22.13
C1QTNF9	0	0	0	0	0	49.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
C1R	19.9	5.12	40.7	10.9	36.1	5.55	17.3	61.9	0	12.7	0	0	27.8	17.96	0	14.83	13.72	17.4	13.7	19.7	26.8	15	26.9	44.3	4.91	17.1	23.2	0	18.5	12.8	3.58	8.62	7.79	7.1	15.45	28.04
C1RL	10.7	0	0	40.1	18.4	57.9	39.04	44.2	0	15.6	44.1	71	33.6	43.1	41.7	135	126.49	119.31	30.39	34.81	51.04	44.63	51.8	66.48	26.42	17.89	26.77	0	25.5	12.8	0	0	17.73	17.48	45.8	23.5
C1RL-AS1	0	0	0	0	0	22.1	27.52	0	0	0	0	39.19	0	0	0	7.19	18.27	55.56	31.94	21.9	19.23	9.73	21.9	28.96	31.63	0	3.79	0	12.3	0	12.94	15.88	10.02	16.33	2.22	3.66
C1S	19.8	0	0	15.6	12.3	17.94	28.83	13.9	0	0	19.7	11.1	0	9.94	11.5	107.49	42.55	20.28	25.7	5.84	11.21	7.08	14.8	13.84	14.72	13.09	17.91	0	0	18.3	4.53	5.88	16.15	14.9	0	0
C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0	0	0	0	0	0	3.14	4.2	0	0	0	5.76	4.15
C20orf166-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	0	0	0	43.9	65.8	0	35.6	37.9	0	0	0	0	0	0	0	0	0	0	73.3	32.4
C20orf194	16.7	4.53	0	0	0	0	0	0	0	12.7	0	0	3.04	13.5	13.31	0	0	12.5	61.1	0	4.47	0	14.4	4.73	4.42	0	0	0	0	0	0	0	0	0	11.2	0
C20orf196	17.2	8.91	0	0	0	0	0	0	0	10.4	0	0	0	21.7	5.45	0	0	40.2	37.69	5.11	6.62	3.79	11.9	5.07	0	0	5.34	0	0	0	0	11.8	0	2.61	0	0
C20orf197	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf203	0	0	0	0	0	4.86	0	0	0	0	0	0	0	0	0	0	0	0	0	17.5	21.1	0	12.3	24	0	0	0	0	0	9.17	9.95	0	0	0	0	0
C20orf24	0	0	0	36.2	88.5	0	6.98	0	0	0	0	0	0	0	0	9.45	5.95	2.65	1.76	0	0	0	0	0	0	0	4.95	2.25	4.63	2.61	3.88	4.52	2.44	8.01	33.9	30.5
C20orf27	0	0	0	0	21.77	0	0	0	0	0	0	0	0	0	0	5.69	0	0	0	0	0	2.12	0	0	0	2.89	3.71	1.22	0	0	0	0	0	1.88	28.93	16.35
C20orf96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32	14.45	0	0	0	0	0	0	0	0	0	0	0	5.01	2.32	2.48	2.2	0	0	0	0
C21orf2	42.35	35.39	94.53	37.1	40.13	0	30.1	0	0	27.07	0	28.86	32.7	27.14	5.45	8.79	0	62.12	29.24	56.22	59.27	26.18	77.31	31.2	76.31	4	26.8	0	22.24	20.01	27.29	21.73	22.01	32.31	275.2	176.64
C21orf33	8.55	8.63	9.01	22.7	34.39	4.75	17.4	78.9	0	6.37	7.13	7.73	10.72	9.2	5.15	10.43	5.55	7.96	8.97	10.26	9.24	6.45	8.88	9.19	5.69	8.49	6.89	3.99	3.04	6.36	3.21	2.93	3.26	2.98	4.74	6.16
C21orf58	53.32	54.18	234	186.9	555.98	34.33	110.75	121.5	0	29.81	39.02	0	40.6	388.2	26.57	52.2	96.85	39.42	107.26	132.96	144.57	67.03	155.29	137.77	94.64	33.34	48.41	20.46	31.2	26.06	25.09	43.38	21.96	41.89	106.76	132.86
C21orf59	2.16	2.21	0	0	24.5	0	23	0	0	15.33	21.85	6.33	8.44	7.36	17.79	8.31	8.74	1.97	5.5	8.03	3.95	5.97	0	5.57	0	3.03	19.8	0	5.4	7.15	5.06	3.4	0	4.81	2.69	3.64
C21orf62	0	0	0	0	0	4.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf62-AS1	4.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf91	8.29	5.59	0	0	0	0	0	0	0	8.51	6.74	23	35.4	42.74	13.98	0	0	20.1	46.8	0	3.3	2.95	0	5.32	0	0	0	0	4.03	0	5.84	2.63	4.14	19.3	8.63	0
C22orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6	7.31	0	10.3	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf29	45.41	29.37	158.6	217.1	335.22	94.58	77.34	161.4	0	28.52	122.9	61.58	45.46	53.57	59.38	32.66	39.69	57.22	52.7	98.98	91.5	77.92	119.1	141.07	60.7	23.29	32.29	18.12	23.61	23.38	26.93	29.4	14.82	22.1	29.11	29.44
C22orf34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.81	5.92	12.53	10.22	4.14	14.1	0	0
C22orf39	25.88	17.04	17.4	11.9	12.3	11.2	23.92	13.6	0	3.31	13	40.37	14.13	6.16	3.09	4.2	20.4	9.54	7.19	9.49	24.08	4.8	20.4	14.6	15.32	4.72	8.48	2.32	5.44	4.85	3.77	4.35	4.45	4.38	48.3	30.58
C22orf46	81.06	42.51	115.3	46.35	33.4	14.4	46.64	46.1	0	140.05	40	35.54	93.48	114.99	142.9	27	205.2	107.51	134.35	59.81	82.77	85.13	69.21	92.35	75.75	0	10.48	25.91	26.93	52.57	41.76	18.54	47.65	43.72	51.25	55.03
C2CD2	0	0	0	22.47	36.85	17.3	21.21	11.5	0	29.66	28.1	15.95	44.13	49.73	18.15	5.24	9.21	34.3	43.84	15.65	25.38	13.81	16.41	23.41	12.09	2.76	0	0	0	0	0	0	0	0	79.2	99.83
C2CD2L	3.8	0	0	0	0	0	5.86	0	0	5.78	0	0	9.72	0	0	0	0	0	24.29	8.76	13.8	31	31.5	58.6	15.7	0	3.7	0	6.09	8.04	8.79	7.52	10.41	9.86	105.61	262.61
C2CD3	31.2	18.79	24.74	0	12.9	0	12.32	0	0	32.98	17.1	7.95	42.9	10.62	16.84	10.42	7.49	30.95	23.44	10.35	17.9	10.79	13.46	19.46	13.55	2.51	2.77	3.22	11.02	16.69	7.11	9.86	18.09	15.44	26.75	23.83
C2CD4A	0	0	26	0	0	13.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.9	210.6
C2CD4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD4C	0	0	0	0	0	0	0	0	0	0	0	0	0	31.1	12.45	0	0	0	0	191.25	216.04	99.25	206.2	179.76	81.06	0	0	0	17.31	16.96	17.23	37.09	0	0	213.7	108.97
C2CD4D	0	0	0	0	0	0	0	0	0	0	0	0	0	32.6	0	0	0	0	0	38	55.85	36.3	50.7	27.9	41.3	0	0	0	0	0	0	0	0	22.7	0	0
C2CD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	15	7.32	0	0	0	0	3.99	3.06	3.38	2.67	4.35	3.88	7	11
C2orf15	17.4	17.9	19.9	0	0	13.4	11.6	0	0	25.4	13.6	0	0	47.9	9.68	0	12.7	9.71	15.3	4.82	6.21	4.25	12.3	14.7	5.89	0	0	0	3.37	3.85	4.2	7.05	0	0	0	0
C2orf16	27.5	14.2	35.8	0	0	0	0	0	0	0	0	0	0	0	0	11.4	10.2	13.2	41.4	13.1	15.4	26.5	21.9	25.3	26.5	0	0	0	0	0	0	0	0	8.94	13.5	53.7
C2orf27A	2.31	0	0	0	0	0	0	0	0	0	0	0	13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77	5.96	2.54	4.15	0	0	0	0
C2orf42	7.66	8.51	39.9	17.7	13.6	11.2	9.97	0	0	22.5	0	0	21.2	19.9	35.1	6.39	22.1	18.58	12.8	6.82	8.24	18.6	8.66	7.7	4.91	16.7	9.01	2.15	7.93	3.57	0	4.44	3.52	3.54	7.66	8.28
C2orf47	6.11	4.81	0	0	17	0	5.44	0	0	0	8.99	12	15.5	5.24	12.1	21	8.07	8.69	25.35	8.76	14.6	11.5	0	0	4.12	0	0	0	3.17	0	5.97	2.7	0	0	45.2	54.9
C2orf48	38.8	10.2	9.56	0	0	0	9.95	0	0	0	0	0	0	0	0	0	0	0	0	35.1	10.4	25.63	11.4	12.5	6.87	0	0	0	5.24	5.41	3.88	5.22	0	0	0	0
C2orf49	8.36	6.08	0	0	0	0	3.14	0	0	5.55	19.24	26.6	8.14	8.13	23.6	0	0	6.74	3.43	0	0	0	0	0	0	0	0	0	0	1.79	0	0	0	0	0	0
C2orf50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6	0	0	17.3	0	0	0	0	0	0	0	0	0	0	14.4	8.85
C2orf54	0	0	0	0	0	13.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf61	6.65	3.15	0	0	0	0	100	0	0	5.62	9.68	11.1	6.37	8.13	0	31.1	23.4	10	6.1	21.9	35.2	38.9	62.9	26.2	50.1	7.26	11.6	13.3	3.75	7.64	5.01	6.89	3.05	6.02	8.22	4.23
C2orf68	17.19	21.16	0	0	11.6	0	15.57	0	0	7.91	17.85	28.02	34.86	16.57	9.66	12.87	11.55	23.67	18.48	3.94	10.78	0	9.31	5.51	8.34	0	17	0	9.17	15.32	6.73	8.02	6.76	5.41	56.89	67
C2orf69	14.5	11.5	14.5	24.8	0	0	17.5	11.9	0	6.36	20.4	34	27.4	10.1	19.98	0	11.9	11.1	8.31	3.65	4.43	0	0	4.41	6.87	0	0	0	2.98	4.44	6.51	6.41	0	0	94.3	11.4
C2orf72	21.11	5.94	0	0	0	0	0	0	0	13.9	0	0	0	0	0	3.72	6.8	19.23	12.01	30.6	23.11	47.8	36.9	43.9	6.38	12.24	11.8	0	0	0	0	0	0	0	33.8	25.65
C2orf74	7.71	7.69	3.8	0	0	0	0	0	0	41	36.5	57.68	57.9	12.4	7.87	0	6.37	2.6	4.85	0	0	0	0	0	0	2.64	0	1.72	0	0	0	0	6.07	10.17	3.96	2.22
C2orf76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9	0	8.98	0	0	0	16.4	12	0	0	0	0	0	0	0	0	5.08	0	0	0
C2orf81	12.3	0	12.8	0	0	0	5.67	0	0	3.82	0	0	0	12.6	13.9	25.2	18.14	34.73	38.69	36.28	48.88	66.77	43.8	30.72	52.5	9.78	8.95	0	28.48	18.22	9.95	15.7	20.75	10.96	93.54	115.9
C2orf82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54	0	0	0	0	0	0	0	4.8	0
C2orf83	0	0	0	0	0	10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf88	0	0	0	0	0	0	0	0	0	11	0	9.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	195
C2orf91	0	0	0	0	0	13.7	0	0	0	0	0	0	0	0	9.53	0	0	0	0	0	5.53	0	0	6.65	0	0	0	0	0	0	0	0	0	0	0	0
C3	0	0	0	0	0	0	2.21	0	0	0	0	0	0	0	0	16.3	22.4	6.94	3.93	0	0	0	0	0	0	15.11	8.93	0	0	0	0	0	6	3.14	9.35	0
C3AR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87	12.03	0	0
C3orf18	9.54	7.82	25.5	0	0	0	19.6	0	0	0	11.3	15.2	35.8	19	25.4	0	6.37	5.97	10.8	15.2	22.2	9.87	22.6	21.8	17.1	4.83	2.83	0	5.35	6.72	5.25	4.65	8.13	24.55	20.9	6.71
C3orf33	15.8	8.07	2.54	0	0	3.72	0	0	0	16.2	13.6	24	11.9	11.7	21.2	0	8.5	3.56	34.6	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	10.4	4.62
C3orf35	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.6	0	0	0	0
C3orf38	18.1	17.2	32.2	71	47	65.6	49.9	28.5	0	15.84	13.6	49.3	13.5	28.8	12.6	28.2	46.5	37.22	16.9	51.88	39.09	21.68	148.6	35.85	25.82	0	0	0	5.28	5.02	6.95	4.09	2.79	7.54	0	0
C3orf52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	3.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf58	23.94	12.1	19.18	34.7	55.2	0	22.75	0	6.22	21.1	29.4	57.3	12.2	19.68	27.12	7.23	32.44	26.6	8.71	11.81	14.06	15.12	10.69	21.03	21.63	2.12	0	0	7.62	8.66	10.5	9.58	0	0	127	56.09
C3orf62	43.58	20.34	24.1	0	8.17	10.32	22.38	0	0	24.92	0	10.4	0	6.77	0	12	16.1	22.2	29.6	17.5	15.04	0	11.86	17.75	0	0	0	0	0	4.35	0	15.47	0	4.64	0	0
C3orf67	10.9	3.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	5.48	5.69	0	0	3.99	0	0	0	0	0	9.63	2.99	9.25	0	0	0	0
C3orf70	19	25.3	5.39	0	0	17.06	0	0	0	0	0	0	29.2	14	0	0	0	0	0	0	24.4	0	0	26.21	0	0	0	0	0	0	0	0	0	0	0	0
C3orf80	22.69	11.4	60.3	0	9.53	0	69	0	0	0	0	0	0	0	0	13.2	0	0	24.24	42.4	66.6	53.1	42.4	43.9	22.1	0	0	0	0	0	0	0	0	0	175.4	176.8
C4BPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.07	0	2.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPB	0	0	0	6.98	19.54	0	3.57	0	0	0	0	0	0	0	0	0	7.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf19	0	0	0	0	0	3.76	0	0	0	22.5	0	0	0	9.03	0	0	0	0	12.6	49.6	33.31	12.4	43.8	23.07	35.3	0	0	0	0	0	0	0	0	0	40.3	11.9
C4orf26	0	0	0	0	0	23.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf3	3.41	1.92	0	0	14.3	0	7.08	0	0	4.47	6.63	6.88	5.38	8.13	5.48	24.8	12.7	7.51	5.25	2.06	4.61	9.73	3.05	6.39	2.07	0	0	0	2.81	3.83	5.26	2.76	2.03	13.4	0	0
C4orf32	12.01	8.67	4.99	9.51	0	0	5.42	0	0	26.32	0	24	10.2	0	0	0	0	11.22	16.64	0	0	0	0	21.29	0	0	0	4.43	23.1	0	0	6.27	7.51	8.32	61.75	103.01
C4orf33	3.89	2.51	0	0	0	0	0	0	0	10.4	0	0	0	0	0	0	0	0	7.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf46	14.12	5.22	0	40.1	9.53	0	20.08	15.5	0	11.35	7.1	6.08	5.66	4.73	9.32	0	4.25	11.4	5.69	7.45	4.41	0	13.7	6.65	0	0	0	0	13.18	6.28	5.59	3.92	0	0	2.51	2.49
C4orf48	0	0	0	0	9.53	0	0	0	0	0	0	0	0	0	0	4.52	0	0	0	0	0	0	0	0	0	1.78	0	0	0	0	0	0	0	0	18.7	15.9
C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.96	6.65	5.2	4.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5AR1	0	0	0	0	0	0	7.75	0	0	0	0	0	0	0	0	0	0	0	13.5	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85	7.48	0	0
C5AR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3	0	0	0	0	0	0	0	0	0	0	0
C5orf15	12.2	13.8	21.7	50.4	44.3	60.9	33.9	71.1	15.9	8.96	12	9.58	22.2	21.1	10.9	33.9	17.6	13.95	9.61	18.6	17.3	11.4	17.7	17.9	12.7	7.75	6.66	5.49	5.02	8.85	4.36	4.13	5.54	14.18	4.88	6.1
C5orf22	14.1	19.6	72.3	74.2	12.9	16.2	20.6	15.7	0	7.88	9.17	9.58	8.56	13.1	10.5	43.8	22.47	11	10.3	13.5	13.6	10.6	11.1	8.87	10.2	0	0	0	3.83	3.59	4.21	7.18	2.57	3.75	3.42	3.97
C5orf24	31.47	20.31	35.1	42.79	49.4	10.82	47.93	35.47	0	19.43	45	29.96	39.52	33.3	27.42	32.3	36.6	67.35	29.7	16.53	22.7	10.18	25.4	28.1	11.18	15.25	11.96	13.48	9.63	17.48	19.03	6.81	6.63	10.59	24.5	68.2
C5orf30	30.1	28.6	17.19	80.2	91.9	27.09	75	89.4	0	10.36	45.3	37.3	22.9	54.1	16.35	89.7	29.57	39.1	25.7	16.67	13.93	4.6	11.72	19.18	8.48	15.11	11.98	10.18	7.51	6.53	6.8	6.95	0	18.36	16.46	8.54
C5orf34	19.6	20.1	17.7	39.1	0	0	9.26	12	0	7.35	24.9	0	10.6	20.8	21.2	0	0	4.7	6.29	3.76	6.27	0	3.83	3.39	13.3	0	0	0	0	3.85	3.85	0	0	0	0	0
C5orf42	42.55	39.08	6.44	56.46	0	18.4	28.87	23.93	0	15.01	10.1	0	42	37	63.12	31.2	47.83	73.55	94.29	4.97	2.98	0	0	0	0	0	0	0	0	7.86	0	9.87	0	12.4	21.6	41.5
C5orf45	24.8	17.03	58.5	0	9.88	0	20.43	0	0	7.23	8.77	7.7	0	16.2	6.16	0	0	6.14	4.19	26.8	34.5	23.8	23.3	18.09	16.95	0	1.22	0	13.27	12.79	10.08	12.41	6.08	6.4	36.9	44.6
C5orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9	13.4
C5orf51	20	7.81	3.35	26.8	0	0	5.04	6.99	0	13.3	42	82.5	11.6	16.9	14.6	0	6.37	7.5	10	0	2.31	0	6.06	4.78	0	0	0	0	0	2.59	1.96	2.35	0	0	0	0
C5orf56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73	3.97	0	6.89	6.49	6.21	24.5	15.9
C5orf60	0	0	0	0	0	3.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf63	11.45	0	0	0	0	0	0	0	0	0	0	0	0	14.5	0	0	0	0	11.7	0	0	0	0	0	0	0	0	11.3	0	0	0	0	0	0	0	0
C5orf66	11.6	3.26	7.52	0	24.55	0	17.15	0	0	11	0	10.4	0	0	0	32.99	14.4	21.51	25.41	0	0	0	0	0	0	0	0	0	4.43	13.8	9.95	5.22	0	0	52.1	24.4
C6orf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.57	20.8
C6orf106	11.8	7.72	16.07	17	61.9	5.88	16.01	8.48	0	12.17	5.1	16.6	11.97	17.61	14.55	9.54	9.73	20.28	17.56	11.94	12.93	26.95	6.9	19.4	20.87	4	4.6	6.15	10.39	14.87	15.83	9.18	8.66	7.44	20.19	6.71
C6orf118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.1	10.4
C6orf120	33.06	27.74	42.99	50	46.3	0	64.25	0	0	29.61	26.3	29.09	39.7	31.63	15.13	83.8	16.39	32.44	23.96	21.12	29.07	22.95	27.76	38.2	35.14	19.9	33.62	15.79	9.27	8.27	17.57	16.79	12.21	11.71	272.5	344
C6orf132	0	0	0	0	0	4.75	21.58	0	0	37.69	27.99	0	83.6	43.58	0	0	23.7	25.7	32.4	81.55	75.36	110.4	63.7	62.07	95.46	0	0	0	0	0	0	0	0	0	47.5	47.65
C6orf136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6	0	0	0	0	0	0	0	0	0	0	10.6	16.5
C6orf141	37.52	0	20.6	0	0	0	0	0	0	42.51	0	0	0	73.1	85.38	49.1	111.1	62.4	23.42	106.2	104.6	107.4	173.8	86.4	69.12	25	42.2	0	0	0	0	0	0	0	254	334
C6orf163	9.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf203	9.37	7.03	4.33	0	0	0	52.4	0	0	23.7	18.38	18.61	18.6	7.1	39.7	5.99	0	6.98	17.44	5.01	11.6	7.96	8.21	9.91	14.4	0	0	0	0	0	0	0	13.72	14.4	13.7	0
C6orf223	0	0	0	5.66	17.01	0	12	18.1	0	0	0	0	0	12.6	0	0	0	11.8	0	50.8	49.5	47.7	102	39.7	42.7	0	0	0	5.87	6.76	8.34	12.7	0	0	0	0
C6orf226	0	0	0	0	0	0	0	0	0	0	0	0	5.97	0	0	5.58	8.78	0	6.27	0	0	0	0	0	0	0	2.72	0	1.92	0	2.4	1.84	2.83	4.64	39.6	39.1
C6orf47	17.6	14.2	65	51.6	98.4	36.6	26.07	77.2	0	26.77	27.81	79.1	56.43	46.62	32.79	48.84	35.1	39.6	23.8	44.8	25.3	29.3	28.3	45.7	40.1	17.94	13.3	12.55	12.7	6.16	9.55	10.1	6.67	6.56	35.28	25.82
C6orf48	0	0	0	0	11.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf62	9.28	5.18	0	17.9	5.9	12.5	20.1	10.2	0	5.34	11.4	12.4	13.7	20.2	7.37	3.46	4.71	10.7	8.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf89	31.48	19.86	50.1	32.4	70.1	29.4	49.1	65.1	0	16.15	38	51	44.6	31.56	22.29	34.99	32.02	27.9	35.89	49.3	59.6	36.57	40.6	68.4	21.46	5.78	6.68	9.55	16.14	16.16	16.7	17.9	12.95	11.55	11.64	12.46
C6orf99	0	0	0	0	0	4.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7	0	0	0	0	0	17.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
