	batch1_group1	batch1_group2	batch1_group3	batch2_group1	batch2_group2	batch2_group3	batch3_group1	batch3_group2	batch3_group3
B4GALT2	9.68	12.3	37.5	19.4	48.4	13.6	34.9	30	0
B4GALT3	3.4	6	0	13.6	33.09	0	14.3	13.7	0
B4GALT4	12.47	9.41	0	0	0	0	0	0	0
B4GALT5	21.1	14.8	93	11.4	22.9	6.91	36.41	87.9	20.1
B4GALT6	18.39	14.67	0	0	0	0	16.7	0	0
B4GALT7	10.4	7.48	47	23.1	22.13	0	18.52	21.8	0
B4GAT1	17.26	15.83	35.1	0	19.09	0	52.84	0	0
B9D1	0	0	0	0	0	0	0	0	0
B9D2	9.25	9.79	42.7	20	38.8	0	19.17	0	0
BAALC	0	0	0	0	0	0	0	0	10.7
BAAT	0	0	0	0	0	0	0	0	0
BABAM1	2.92	0	0	11.6	32	0	3.99	0	0
BACE1	18.82	10.56	171.15	32.6	47.7	0	20.03	22.3	0
BACE2	14.13	18.45	0	74.1	132.1	9.33	44.28	35.2	0
BACH1	24.1	18.09	25.92	115.3	61.25	49.27	31.83	60.6	0
BACH2	79.82	47.22	109.26	0	0	0	0	0	0
BAD	0	0	0	0	0	0	1.79	0	0
BAG1	0	0	0	2.12	172	4.32	5.16	0	0
BAG2	6.79	5.47	4.1	0	11.6	0	8.82	0	0
BAG3	7.04	7.4	22.8	10.16	25.2	0	19.02	8.61	0
BAG4	18.2	16.4	46	143	15.7	28.9	110	47.2	9.68
BAG5	35.4	26.7	38.3	144.4	110.4	27.64	26.72	60.99	0
BAG6	0	0	0	0	71	0	13.4	0	0
BAGE4	0	0	0	18.13	0	0	0	0	0
BAHCC1	87.8	68.45	305.2	28.23	140.36	0	57.65	68.9	0
BAHD1	56.8	18.6	67.3	65.2	149	21.4	22.6	67.6	0
BAIAP2	0	3.83	18.1	10.2	49.73	0	10.3	44.4	0
BAIAP2-AS1	65.05	51.58	258.04	22.1	27.9	0	24.5	0	0
BAIAP2L1	11.73	6.29	8.01	24.1	17	0	23.31	13.1	0
BAIAP2L2	0	0	0	0	0	0	2.62	0	0
BAIAP3	12.9	14.7	28.5	14.9	20.1	6.48	24.5	37.7	0
BAK1	0	0	0	0	0	0	9.07	0	0
BAMBI	33	19.94	73	41.4	51.1	46.6	64.7	36	0
BANF1	6.83	7.38	38.3	5.87	11	0	22.12	11.8	0
BANK1	0	0	0	0	0	0	0	0	0
BANP	0	0	0	0	0	0	0	0	0
BAP1	1.46	0	1.97	0	38.79	0	5	0	0
BARD1	14	11.63	0	44.1	8.17	8.21	15.3	0	0
BARHL1	0	0	0	0	0	0	0	0	0
BARHL2	0	0	0	0	0	0	0	0	0
BARX1	11.1	6.34	16.25	0	0	0	0	0	0
BARX2	0	0	0	0	0	0	0	0	0
BASP1	29.95	44.76	314	17.29	1074.81	6.36	101.81	80.93	5.5
BASP1P1	0	0	0	0	0	0	0	0	0
BATF	0	0	0	0	0	0	0	0	0
BATF2	0	0	0	0	0	0	0	0	0
BATF3	8.08	7.77	5.21	0	0	0	4.49	0	0
BAX	2.65	0	0	0	18.4	0	2.36	0	0
BAZ1A	38.27	36.52	4.86	7.02	12.9	15.1	20.1	0	0
BAZ1B	23.68	22.64	49.94	33.24	122.62	17.04	36	28.7	0
BAZ2A	15.28	12.63	0	13.6	90.67	2.57	7.21	0	0
BAZ2B	65.79	14.83	0	0	0	0	0	0	0
BBC3	15.1	10.1	89.4	0	15.7	0	12.68	0	0
BBIP1	3.51	2.91	0	0	0	0	0	0	0
BBOF1	52.05	10.91	0	0	0	0	7.79	0	0
BBS1	0	0	0	0	0	0	0	0	0
BBS10	23.52	14.6	11.5	44.5	0	0	19.7	0	0
BBS12	93.9	66.9	0	26.6	0	0	32.62	0	0
BBS2	0	0	0	0	0	0	0	0	0
BBS4	0	0	0	0	0	0	0	0	0
BBS5	31.39	11.8	5.89	0	1.49	19.54	0	0	0
BBS7	2.28	0	0	0	0	0	0	0	0
BBS9	2.63	3.45	0	0	0	0	0	0	0
BBX	33.42	24.16	13.76	30.86	17.7	0	39.24	0	0
BCAM	0	0	0	0	0	0	6.23	0	0
BCAN	0	0	0	13.8	41.5	0	12.6	22.3	0
BCAP29	16.93	8.74	14.9	0	0	0	3.45	0	0
BCAP31	0	0	0	0	25.2	0	9.35	0	0
BCAR1	19.86	21.32	145.09	50.44	244.73	10.41	38.55	77.6	0
BCAR3	18.9	9.71	17.3	90.4	211.6	11.4	35.01	29.1	0
BCAS1	0	0	0	0	0	0	0	0	0
BCAS2	22.74	15.63	6.98	7.36	4.6	0	12.29	6.56	0
BCAS3	2.76	0	0	0	0	0	3.19	0	0
BCAS4	0	0	0	0	0	0	0	0	0
BCAT1	2.05	2.24	0	0	9.53	0	0	0	0
BCAT2	0	0	0	0	0	0	3.97	0	0
BCCIP	22.86	16.25	10.32	20	34.7	0	21.12	11.7	0
BCDIN3D	15.7	20.3	16.78	45.5	33.3	14.3	38.9	13.8	0
BCDIN3D-AS1	16.2	20.5	11.9	42.8	33.3	37.1	36.6	0	0
BCHE	48.68	20.29	0	0	0	0	0	0	0
BCKDHA	3.84	4.6	0	0	0	0	15.8	0	0
BCKDHB	1.92	0	0	0	0	5.83	0	0	0
BCKDK	2.92	4.82	10.1	23.1	19.7	0	5.3	8.07	0
BCL10	7.51	11.6	0	0	0	0	7.44	0	0
BCL11A	54.97	57.51	125.8	0	0	0	0	0	0
BCL11B	4.43	0	0	0	0	0	0	0	0
BCL2	113.5	162.39	312.6	276	134.1	23.7	135.7	51.1	0
BCL2A1	0	0	0	0	0	0	0	0	0
BCL2L1	29.21	25.2	153.8	23.8	166.6	8.96	36.1	59.6	0
BCL2L10	0	0	0	0	0	0	0	0	0
BCL2L11	3.13	2.67	0	0	0	0	3.34	0	0
BCL2L12	0	8.08	0	0	8.51	0	9.61	0	0
BCL2L13	17.33	7.59	32.2	46.13	29.58	6.91	28.7	46.3	0
BCL2L14	0	0	0	0	0	0	0	0	0
BCL2L15	0	0	0	0	0	5.37	0	0	0
BCL2L2	6.88	0	0	0	36.1	0	0	0	0
BCL2L2-PABPN1	23.7	18.3	45.2	19.88	135.72	0	23.7	31	0
BCL3	0	0	0	0	18.39	0	1.78	0	0
BCL6	0	0	0	0	0	0	0	0	0
BCL7A	25.42	27.93	165.55	32.3	54.91	29.4	48.57	15.7	0
BCL7B	11.6	9.97	24.6	71	47.7	9.83	25.2	17.9	0
BCL7C	0	0	0	0	13.76	0	3.09	0	0
BCL9	43	28.18	90.4	27.18	69.8	10.8	41.43	56.6	0
BCL9L	0	23.7	61.3	109.31	414.39	20.9	23.61	89.5	0
BCLAF1	17.32	13.79	0	37	0	0	36	0	0
BCO1	0	0	0	0	0	0	0	0	0
BCO2	0	0	0	0	0	0	3.17	0	0
BCOR	23.88	20.76	17.71	23.6	76.25	0	30.81	19.4	0
BCORL1	49.3	44.56	150.16	54.09	98.75	0	39.01	19.8	0
BCORP1	0	0	0	0	0	10.8	0	0	0
BCR	17.21	16.32	247.76	10.9	109.57	0	23.18	63.9	0
BCRP2	12.77	0	7.33	0	0	0	7.65	0	0
BCS1L	8.58	7.05	3.01	0	4.31	0	9.83	0	0
BCYRN1	0	0	0	0	0	0	0	0	0
BDH1	16.2	24.9	30.5	0	0	0	25.03	12.5	14.5
BDH2	0	0	0	0	0	0	0	0	0
BDKRB1	0	0	0	0	0	0	0	0	0
BDKRB2	0	0	0	29.6	12.3	13.8	24.3	0	0
BDNF	0	0	0	40.3	160	39.3	50.61	34.6	15.2
BDNF-AS	0	0	0	52	163	17.9	41.9	33.9	13.8
BDP1	38.92	27.98	13.36	21.1	0	0	6.06	0	0
BEAN1	0	0	0	0	0	0	0	0	0
BECN1	0	0	0	0	0	0	0	0	0
BEGAIN	0	0	0	34.3	188.1	0	28.88	65.5	0
BEND2	0	0	0	0	0	3.38	0	0	0
BEND3	36.86	22.63	175.2	31	82.4	0	37.55	53.6	0
BEND3P3	38.1	65.5	183.3	48.5	33.4	0	54.1	44.6	0
BEND4	37.02	13.22	7.7	0	0	0	0	0	0
BEND5	0	0	0	0	0	0	0	0	0
BEND6	8.34	0	0	0	0	0	0	0	0
BEND7	30.93	7.99	0	0	0	0	0	0	0
BEST1	16.2	0	0	0	0	0	0	0	0
BEST4	0	0	0	0	0	0	0	0	0
BET1	20.88	4.01	0	0	0	0	11.3	0	0
BET1L	20.56	27.89	20.54	6.96	52.35	0	27	15.7	0
BEX1	0	0	0	0	0	0	0	0	0
BEX2	0	0	0	0	0	0	0	0	0
BEX3	2.28	1.33	2.26	7.98	74.5	0	4.61	0	0
BEX4	0	0	0	0	0	0	0	0	0
BEX5	0	0	0	0	0	0	0	0	0
BFAR	24.66	16.84	87.6	54.23	27.2	0	30.26	58.8	0
BFSP1	28.1	8.8	0	0	0	0	0	0	0
BGLAP	0	0	0	0	0	0	0	0	0
BHLHA15	0	0	0	0	0	0	0	0	0
BHLHA9	0	0	0	0	0	0	0	0	0
BHLHB9	22.17	20.48	7.9	12.9	0	0	12	0	0
BHLHE22	0	0	0	0	0	0	0	0	0
BHLHE23	0	0	0	0	0	0	0	0	0
BHLHE40	18.4	19.3	288	75.84	675	27.4	24.55	29.5	8.85
BHLHE40-AS1	0	0	0	0	0	0	0	0	0
BHLHE41	0	8.46	45.1	0	0	0	0	0	0
BHMG1	0	0	0	0	0	0	0	0	0
BHMT2	0	0	0	0	0	17.13	0	0	0
BICC1	28.2	8.16	7.01	112	64	11.1	38.4	45.7	0
BICD1	39.67	51.35	58.4	51.1	43.93	15.1	56.06	18.85	0
BICD2	14.47	12.35	62.4	0	62	0	6.79	15.4	0
BICDL1	0	0	0	0	0	0	0	0	0
BICDL2	0	0	0	0	0	0	0	0	0
BID	2.29	0	0	0	0	0	6.91	0	0
BIN1	0	0	0	0	72.19	0	0	0	0
BIN2	0	0	0	0	0	0	0	0	0
BIN3	22.78	25.16	57.2	9.85	25.2	12.1	53.9	0	0
BIRC2	20.51	21.12	8.15	32.6	0	14.7	25.48	0	0
BIRC3	0	0	0	84.9	8.51	42.63	34.7	47.52	0
BIRC5	5.52	4.51	0	0	73.49	0	37.83	0	0
BIRC6	29.58	26.2	45.61	63.1	50.83	20.45	120.08	60.1	0
BIRC7	0	0	0	0	0	0	3.15	0	0
BIVM	54.8	33.22	15.62	61.36	8.17	5.03	38.16	0	0
BIVM-ERCC5	55.88	44.96	52.55	8.73	53.29	16.42	13.04	20.58	31.8
BLCAP	19.1	20.1	106	123	120.79	24.6	169	21.2	23.5
BLK	0	0	0	0	0	0	0	0	0
BLM	25.68	18.36	7.52	42.2	12.3	12.1	18.22	11.2	0
BLMH	4.62	3.85	4.49	5.18	30.9	5.61	15.8	25.5	0
BLOC1S1	4.29	0	0	0	34.8	0	7.37	0	0
BLOC1S1-RDH5	33.8	26.8	20.6	0	0	0	7.2	0	0
BLOC1S2	10.07	8.41	0	11.6	8.17	12.5	25.3	0	0
BLOC1S3	150.7	65.03	860.4	91.8	290.85	48.57	214.15	113.9	0
BLOC1S4	24.9	17.2	146	48.58	95.29	16.8	34.3	23.46	0
BLOC1S5	38.29	31.05	4.06	30.9	0	12.7	20.92	42.2	0
BLOC1S5-TXNDC5	0	0	0	0	0	0	0	0	0
BLOC1S6	0	0	0	0	0	4.89	0	0	0
BLVRA	3.17	2.32	0	0	10.2	0	2.47	0	0
BLVRB	0	0	0	0	13.6	0	16.9	0	0
BLZF1	11.55	9.08	0	0	0	13.8	0	0	0
BMF	48.95	41.7	52.27	20.05	0	0	42.1	0	0
BMI1	0	0	0	0	0	0	0	0	0
BMP1	5.86	15.6	33.6	50.83	71.14	0	33.11	41.1	0
BMP2	25.45	66.8	88.3	80.1	456	32.68	88.9	40.51	0
BMP2K	49.1	20.38	53.4	95.8	43.6	31	96.8	38.9	0
BMP3	12.3	15.1	0	0	0	7.56	0	0	0
BMP4	18.9	23.64	13.9	0	18.4	0	65.2	0	0
BMP5	0	0	0	0	0	0	0	0	0
BMP6	36.05	15.3	237	26.2	12.3	4.2	34.18	58.1	0
BMP7	13.64	6.45	7.8	0	0	5.83	0	0	0
BMP8A	0	0	0	0	0	10.31	0	0	0
BMP8B	109.55	9.79	79.9	12.2	7.49	7.88	73.4	0	0
BMPER	0	0	0	0	0	0	0	0	0
BMPR1A	24.2	14.5	20.6	70.3	7.83	47.1	24.9	30.1	0
BMPR1B	7.65	8.31	0	0	0	0	0	0	0
BMPR2	35.42	30.69	24.02	14.8	6.13	17.93	27.76	9.25	6.5
BMS1	17.01	17.5	33.81	44.76	28.2	16.69	41.1	13.4	0
BMS1P20	57.95	48.93	45.6	32.6	9.08	0	65.55	0	0
BMS1P4	0	0	0	0	0	0	0	0	0
BMS1P5	31.3	31	20.6	22.81	0	0	8.27	0	0
BMT2	9.48	5.66	0	0	0	0	0	0	0
BNC1	21.4	25.79	21.6	0	0	0	0	0	0
BNC2	56.78	45.25	30	58.4	30.6	12.1	125.01	26.9	0
BNIP1	6.56	4.42	10.3	0	10.9	0	7.05	0	0
BNIP2	2.21	0	0	0	10.9	10.8	8.55	0	0
BNIP3	0	0	0	0	0	0	3.82	0	0
BNIP3L	0	0	0	0	0	0	0	0	0
BNIPL	0	0	0	0	0	3.38	0	0	0
BOC	0	11.02	28.4	0	0	0	0	0	0
BOD1	7.14	5.78	2.59	13.6	19.54	0	10.05	14.3	0
BOD1L1	45.2	33.07	78.09	99.26	101.88	32.77	24.2	36.59	0
BOK	8.08	0	0	0	101.22	0	67.97	30.2	0
BOLA1	37.6	42.2	219	24.1	66	0	73.7	52.1	0
BOLA3	0	0	0	0	0	0	3.46	0	0
BOLA3-AS1	14.24	8.01	24.8	0	0	11.73	0	0	0
BOP1	4.42	3.5	7.7	8.49	79.7	0	7.22	37	0
BORA	9.29	10.9	3.48	25.2	0	0	15.94	0	0
BORCS5	6.54	7.05	4.48	0	23.2	0	10.2	0	0
BORCS6	24.13	23.47	172.8	81.2	56	32.4	44.63	13.4	0
BORCS7	19.98	0	0	0	0	3.54	0	0	0
BORCS7-ASMT	0	0	0	0	0	44.1	0	0	0
BORCS8	12.49	14.96	37.87	0	20.4	0	15.2	0	0
BORCS8-MEF2B	0	0	0	0	0	0	0	0	0
BPGM	27.1	20.48	14.9	0	0	0	10.1	0	0
BPHL	4.28	4.01	0	0	0	0	0	0	0
BPNT1	0	0	0	0	0	6.69	4.76	0	0
BPTF	43.47	39.66	43.39	152.83	88.83	81.68	40.29	24.95	0
BRAF	2.45	0	0	0	0	0	0	0	0
BRAP	8.8	8.3	41.9	13.6	45.6	11.2	11.7	21.9	0
BRAT1	7.55	8.72	74	60.5	74.2	13.4	23.09	60.1	0
BRCA1	22.61	25.48	0	7.64	10.9	0	8.28	0	0
BRCA2	75.82	68.42	14.51	58.8	0	9.5	53.3	29.1	0
BRCC3	17.7	15.7	20.41	78.8	0	12.5	30.8	42.21	0
BRD1	20.05	16.3	68.33	105.6	127	20.09	12.6	39.3	0
BRD2	19.44	16.3	12.14	40.28	197.35	5.61	25.84	110.15	0
BRD3	13.47	9.05	17.44	60.19	57.66	6.48	120.84	49.9	0
BRD4	13	9.4	18.5	6.96	75.32	0	14.25	60.1	0
BRD7	3.79	3.6	0	0	8.85	0	0	0	0
BRD8	12.4	10.2	27.7	29.2	84.07	6.64	19.62	19.5	5.88
BRD9	11.3	17.69	8.69	56.1	152.54	12.1	18.06	70	0
BRDT	0	0	0	0	0	7.34	0	0	0
BRE	0	0	0	0	0	0	0	0	0
BREA2	0	0	0	0	0	12.1	0	0	0
BRE-AS1	0	0	0	0	0	0	0	0	0
BRF1	37.08	30.92	62.11	55.7	177.29	20.3	51.16	32.5	0
BRF2	7	5.99	49.7	0	15	0	5.24	13.8	0
BRI3	4.78	3.24	0	0	26.02	0	31.3	11	0
BRI3BP	16	12.2	19.2	86.6	56.5	15.5	29.96	28.4	12.8
BRICD5	0	0	0	0	0	0	0	0	0
BRINP1	0	0	0	0	0	0	0	0	37.36
BRINP2	0	0	0	0	0	0	0	0	0
BRINP3	24.5	31.2	9.81	174	34.13	24.6	55.6	51.7	0
BRIP1	24.9	17.41	4.03	42.1	0	21.68	12.1	16.4	0
BRIX1	10.08	11.6	0	0	13.6	0	2.43	8.57	0
BRK1	0	0	0	0	0	0	4.77	0	0
BRMS1	0	0	0	0	45.29	0	3.98	0	0
BRMS1L	0	0	0	0	3.13	0	0	0	0
BROX	2.25	0	0	0	0	0	3.68	0	0
BRPF1	12.49	14.57	54.6	81.35	60.37	5.07	23.29	14.4	0
BRPF3	34.39	27.62	64.93	0	39.79	22.43	20.79	26.26	0
BRSK1	0	0	0	0	0	0	0	0	0
BRSK2	19.59	13.1	490	0	12.9	0	29.28	12.1	22.1
BRWD1	19.1	17.4	60.02	74.91	0	25.47	34.97	34.47	0
BRWD3	20.63	13.4	34.4	30.8	0	5.33	8.1	6.41	0
BSCL2	0	0	0	0	8.17	0	0	0	0
BSDC1	6.29	10.59	52.05	11.2	30.6	0	20.46	14.3	0
BSG	0	1.3	0	2.54	154.1	0	25.15	34.9	0
BSN	49.13	59.54	326.68	0	0	0	0	0	37.53
BSN-AS2	8.34	0	0	0	0	17.46	0	0	0
BSND	0	0	0	0	0	0	0	0	0
BSPRY	0	0	0	0	0	0	0	0	0
BST1	0	0	0	0	0	0	0	0	0
BST2	0	0	0	0	55.8	0	0	0	0
BTAF1	0	0	0	0	0	0	0	0	0
BTBD1	6.35	5.04	4.02	0	0	0	7.54	0	0
BTBD10	6.93	3.2	0	0	0	0	3.12	0	0
BTBD11	44.07	30.1	171.93	0	0	0	0	0	0
BTBD17	0	0	0	0	0	0	0	0	0
BTBD19	0	0	0	0	0	0	0	0	0
BTBD2	4.3	3.05	26.7	16	60.6	0	20.06	40	0
BTBD3	22	19.4	112.77	144.56	243.6	39.5	71.57	28.9	22.3
BTBD6	12.2	12.9	73.6	48.2	54.7	7.34	15.2	82.7	0
BTBD7	47.95	48.19	120.67	160.1	112.4	38.4	69.19	65.7	0
BTBD9	75.46	45.95	380.8	12.9	15	0	68.73	15.1	0
BTD	20.11	12.82	18.95	36.7	21.77	0	12.9	18.71	0
BTF3	1.35	0	0	0	36.7	0	0	0	0
BTF3L4	3.45	3.08	4.21	7.93	0	14.3	6.55	7.61	0
BTG1	11.9	17	61.6	40.4	111	19.4	20.8	36.5	9.33
BTG2	8.94	8.9	66.5	0	0	0	7.34	0	0
BTG3	0	0	0	0	13.6	0	3.97	0	0
BTLA	0	0	0	0	0	0	0	0	0
BTN2A1	18.5	19.92	22.9	7.53	33.33	19.9	14.3	20.5	0
BTN2A2	16.06	8.58	25.46	0	0	0	9.6	0	0
BTN2A3P	20.1	11.8	4.69	9.17	0	0	5.01	0	0
BTN3A1	14.13	20.2	8.46	48.9	0	26.47	28.87	0	0
BTN3A2	28.08	22.52	20.3	30	9.53	10.4	46.77	16.4	0
BTN3A3	18.8	11.6	0	0	0	4.53	0	0	0
BTNL8	0	0	0	0	0	0	0	0	0
BTNL9	30.72	32.65	183.5	0	0	0	0	0	0
BTRC	18.27	14.67	16	27.5	0	0	54.3	16.7	0
BUB1	3.18	0	0	9.17	5.79	0	16.4	0	0
BUB1B	0	0	0	0	10	0	0	0	0
BUB1B-PAK6	0	0	0	0	9.53	0	0	0	0
BUB3	0	0	0	0	14.07	0	6.8	0	0
BUD13	15.16	10.17	4.76	11.2	12.3	0	4.63	0	0
BUD31	3.45	6.18	16.4	0	34.7	0	22.2	12.1	0
BVES	0	0	0	0	0	12.58	0	0	0
BYSL	11	9.14	46.2	21.1	199.3	10.2	27.18	23.1	0
BZW1	2.07	1.69	0	11.9	0	4.23	12.3	0	0
BZW2	0	0	0	0	36.1	0	4.59	0	0
C10orf10	45	17.45	341	0	0	0	8.78	0	0
C10orf105	0	0	0	0	0	0	0	0	0
C10orf11	0	0	0	0	0	0	0	0	0
C10orf111	0	0	0	0	0	0	0	0	0
C10orf12	63.33	56.26	147.1	20.02	19.07	0	44.79	11	0
C10orf131	0	0	0	0	0	0	0	0	0
C10orf142	0	0	0	0	0	0	0	0	0
C10orf2	40.84	28.77	74.12	31.3	42.97	15.98	20.18	56.6	0
C10orf25	18.96	10.2	0	0	0	0	0	0	0
C10orf35	10.7	3.56	0	0	0	0	0	0	0
C10orf54	0	0	0	58.1	60.6	24	58.32	34.4	0
C10orf55	0	0	0	0	0	0	0	0	0
C10orf67	0	0	0	0	0	0	0	0	0
C10orf71	0	0	0	0	0	14.68	0	0	0
C10orf76	0	0	0	0	0	6.69	0	0	0
C10orf82	0	0	0	0	0	0	0	0	0
C10orf88	21.96	18.1	0	99.9	12.3	40.6	81.7	30.1	0
C10orf90	0	0	0	0	0	0	0	0	0
C10orf91	0	0	0	0	0	0	0	0	0
C10orf95	0	0	0	0	0	0	0	0	0
C11orf1	0	0	0	0	0	0	0	0	0
C11orf21	0	0	0	0	0	0	0	0	0
C11orf24	17.2	11.8	81.69	40.91	111.3	31.14	25.88	66.2	0
C11orf31	0	0	0	0	14.3	5.83	2.87	0	0
C11orf45	11.2	0	0	0	0	0	0	0	0
C11orf49	3.28	4.3	0	0	0	0	3.7	0	0
C11orf54	3.93	0	0	0	0	0	0	0	0
C11orf57	18.64	19.04	23.8	113	29.3	20.3	138	65	0
C11orf58	0	0	0	0	8.99	7.19	10.6	0	0
C11orf63	35.52	26.09	0	0	0	5.47	0	0	0
C11orf68	11	9.8	28.5	46.6	47	10.4	20.3	56.9	0
C11orf70	0	0	0	0	0	4.49	0	0	0
C11orf71	24.73	3.39	22.1	0	0	0	11.07	0	0
C11orf74	3.27	0	0	0	0	0	0	0	0
C11orf80	0	0	0	16.6	62	3.89	26.78	16.3	0
C11orf84	0	0	0	0	0	0	0	0	0
C11orf86	0	0	0	23.4	94.6	13.8	29.66	6.96	0
C11orf88	0	0	0	0	0	0	0	0	0
C11orf95	18.9	14.19	152.15	31.6	85.8	15.1	30.35	0	0
C11orf96	14.85	0	54.4	0	0	0	0	0	0
C11orf98	4.2	5.09	1.77	12.2	10.9	0	7.35	0	0
C12orf10	0	0	0	0	17	0	0	0	0
C12orf29	3.09	0	0	0	0	0	0	0	0
C12orf4	6.89	4.83	0	0	0	0	0	0	0
C12orf43	22.6	13.9	69.22	19	27.9	20.42	34.5	43.9	0
C12orf45	3.2	3.91	0	0	0	0	4.01	0	0
C12orf49	17	17.3	109	14.3	60.65	0	43.38	39.8	0
C12orf57	0	0	0	0	67.07	0	8.87	0	0
C12orf60	58.2	35.91	23.53	0	0	0	8.78	0	0
C12orf65	27.05	25.45	38.19	44.2	20.4	20.13	24.98	12.2	0
C12orf66	18.2	18.3	25.82	9.51	0	0	24.01	0	0
C12orf73	2.63	1.98	0	0	0	0	3.79	0	0
C12orf75	0	0	0	0	0	0	0	0	0
C12orf76	6.9	6.35	0	0	0	0	5.1	0	0
C14orf1	0	0	0	0	0	0	2.35	0	0
C14orf105	0	0	0	0	0	0	0	0	0
C14orf119	20.56	15.68	11.02	48.82	28.37	28.59	37.09	55.8	0
C14orf132	91.05	38.7	33.12	0	0	4.23	31.62	0	0
C14orf159	13.2	6.11	0	0	0	0	0	0	0
C14orf166	2.36	2.33	0	0	0	0	0	0	0
C14orf169	0	0	0	63.4	113.85	9.5	41.32	66.7	0
C14orf2	1.92	1.69	0	0	0	0	2.58	0	0
C14orf28	13.5	0	0	0	0	0	0	0	0
C14orf37	35.4	50.3	39.5	0	0	0	0	0	10
C14orf79	8.87	15.9	83.4	26.5	40.2	0	27.2	0	0
C14orf80	12.1	10.1	125	14.6	113	7.77	26.01	71.3	0
C14orf93	20.27	20.8	92.2	14.9	9.53	0	36.05	0	0
C15orf38-AP3S2	0	0	0	0	0	0	35.2	0	0
C15orf39	84	82.29	276.4	179.5	294.6	69.17	60.5	275.8	0
C15orf40	7.39	4.81	0	0	0	17.49	11.9	0	0
C15orf41	2.96	2.52	0	0	0	0	6.38	0	0
C15orf52	0	0	0	0	0	3.39	12.52	0	0
C15orf56	0	0	0	0	0	0	0	0	0
C15orf57	56	23.75	12.5	0	12.9	0	9.35	0	0
C15orf59	16	11.9	205	0	0	0	0	0	4.43
C15orf61	11.4	12.5	0	0	15.7	0	24.1	0	0
C15orf62	0	0	0	0	0	0	0	0	0
C15orf65	11.7	0	0	0	0	0	0	0	0
C16orf45	0	0	0	0	0	0	14.91	0	0
C16orf46	34.14	14.7	17.2	0	0	0	0	0	0
C16orf52	12.64	8.39	0	0	0	0	5.53	0	0
C16orf54	0	0	0	0	0	14.3	0	0	0
C16orf58	6.1	6.49	7.91	0	17.7	0	9.33	0	0
C16orf59	2.78	1.92	6.29	0	17.69	0	18.05	0	0
C16orf62	2.66	0	0	0	0	0	0	0	0
C16orf70	20.39	18.1	68	62.5	44.3	22	26.2	30.6	0
C16orf72	13.5	9.88	8.18	111	134	40.2	43.73	24.2	55.3
C16orf74	18.8	5.27	59.3	13.6	19.7	0	38.52	0	0
C16orf86	0	0	0	0	0	0	0	0	0
C16orf87	14	10.4	11.5	25.5	9.53	19.7	40.8	6.52	0
C16orf89	0	0	0	0	0	11.2	0	0	0
C16orf91	16.8	16	76.6	68.3	58.6	5.18	24.5	36.3	0
C16orf96	0	0	0	0	0	0	0	0	0
C17orf100	27.2	9.3	51.8	0	0	0	20.1	0	0
C17orf107	0	0	0	0	0	0	4.96	0	0
C17orf50	0	0	0	0	0	0	0	0	0
C17orf51	28.95	48.24	132.08	11.9	3.92	20.3	124.84	20.5	0
C17orf53	13.07	7.73	4.44	10.9	15.82	0	18.63	0	0
C17orf58	25.72	10.86	5.52	10.2	9.53	0	15.53	0	0
C17orf62	33.8	26.71	295.17	89.7	453.1	39.3	79.9	68.8	0
C17orf67	23.78	60.1	8.17	0	12.3	0	5.41	11	0
C17orf75	4.89	2.97	0	0	0	26.49	0	0	0
C17orf77	0	0	0	0	0	3.46	0	0	0
C17orf80	41.28	52.63	46.21	118.53	92.99	40.89	48.9	59.66	0
C17orf82	16.94	0	37.8	0	0	0	0	0	0
C17orf96	35.92	44.33	229.94	40.8	53.36	0	26.18	75.3	0
C17orf97	20.1	17.8	0	0	0	0	34.5	0	0
C18orf21	5.63	5.1	0	0	0	0	15.9	0	0
C18orf25	15.51	10.82	11.8	30.22	7.26	15.1	28.52	9.69	0
C18orf32	6.45	7.61	0	2.07	3.24	0	0	0	0
C18orf54	22.8	19.23	2.94	28.9	0	0	45.82	0	0
C18orf61	0	0	0	0	0	6.91	0	0	0
C18orf8	0	0	0	0	0	0	0	0	0
C19orf12	16.58	14.48	74.7	16	38.1	6.22	37.84	39	0
C19orf18	0	0	0	0	0	0	0	0	0
C19orf24	17.1	19.4	90.6	24.8	47	0	65.5	22.7	0
C19orf25	12.03	6.55	14.32	0	12.3	0	4.45	0	0
C19orf33	0	0	0	0	24.9	0	7.07	0	0
C19orf35	0	0	0	0	0	0	0	0	0
C19orf38	0	0	0	0	0	0	0	0	0
C19orf43	7.04	6.49	0	14.6	204	3.55	8.26	37.1	0
C19orf44	43.68	33.02	122.33	36.37	74.9	0	34.66	25.8	0
C19orf45	0	0	0	0	0	0	0	0	0
C19orf47	14.5	18.3	86.3	41.8	134	25	69.65	54.5	0
C19orf48	11.31	9.31	52.6	21.06	379	8.11	12.46	98.3	0
C19orf52	11.7	13.5	108	28.4	72.2	18.1	39.98	43.6	0
C19orf53	4.04	9.35	2.17	23.1	34.2	2.09	3.62	12.1	0
C19orf54	2.87	3.92	0	0	10.2	13.4	8.93	0	0
C19orf57	15.95	9.2	43.7	0	0	0	7.15	0	0
C19orf60	4.27	0	14.61	0	20.45	0	7.86	0	0
C19orf66	9.9	0	0	0	0	0	6.86	0	0
C19orf68	0	0	0	14.3	62.6	0	16.3	0	0
C19orf70	3.72	4.02	0	0	32.73	0	2.49	13.1	0
